OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
MultiScaleDeformableAttnFunction,MIX_AIV,12,19123.682,152.023,1593.64,3035.34,26.095
MatMulV2,AI_CORE,361,10943.814,4.64,30.315,275.005,14.933
Transpose,AI_VECTOR_CORE,328,8088.11,7.96,24.658,200.784,11.037
BatchMatMulV2,AI_CORE,109,5226.755,3.92,47.951,235.485,7.132
Add,AI_VECTOR_CORE,245,3300.846,1.22,13.472,129.762,4.504
SoftmaxV2,AI_VECTOR_CORE,66,2945.439,11.22,44.627,226.885,4.019
LayerNormV3,AI_VECTOR_CORE,123,2864.698,2.94,23.29,106.882,3.909
ViewCopy,AI_CPU,24,2603.032,67.661,108.459,446.689,3.552
MemSet,AI_VECTOR_CORE,135,1848.08,5.661,13.689,44.941,2.522
MatMulV3,AI_CORE,6,1571.452,259.805,261.908,265.486,2.144
Relu,AI_VECTOR_CORE,50,1545.913,2.08,30.918,221.544,2.109
RealDiv,AI_VECTOR_CORE,101,1221.289,1.2,12.091,101.822,1.667
Mul,AI_VECTOR_CORE,182,1168.562,1.2,6.42,55.081,1.595
MaskedFill,AI_VECTOR_CORE,55,1135.765,2.42,20.65,52.061,1.55
Slice,AI_VECTOR_CORE,144,1003.782,2.28,6.97,29.941,1.37
StridedSlice,AI_VECTOR_CORE,66,732.916,8.301,11.104,20.001,1.0
ClipByValueV2,AI_VECTOR_CORE,60,574.367,2.18,9.572,24.12,0.784
TransData,AI_VECTOR_CORE,27,436.03,2.48,16.149,93.682,0.595
Gelu,AI_VECTOR_CORE,24,422.648,4.52,17.61,67.681,0.577
ReduceMean,MIX_AIV,18,366.085,7.78,20.338,35.481,0.5
PadV3,MIX_AIV,13,324.527,20.72,24.963,34.081,0.443
TensorMove,AI_VECTOR_CORE,21,317.406,5.501,15.114,20.681,0.433
ViewCopy,AI_VECTOR_CORE,21,314.265,10.66,14.965,55.641,0.429
GatherElements,AI_VECTOR_CORE,3,289.466,55.361,96.488,177.544,0.395
Index,AI_VECTOR_CORE,12,279.402,16.28,23.283,28.121,0.381
Sub,AI_VECTOR_CORE,48,277.005,1.24,5.77,31.221,0.378
ConcatD,AI_VECTOR_CORE,37,268.567,2.12,7.258,22.521,0.366
Cos,AI_VECTOR_CORE,33,267.266,2.301,8.098,21.44,0.365
Sin,AI_VECTOR_CORE,33,256.167,2.22,7.762,20.801,0.35
Cast,AI_VECTOR_CORE,130,250.408,1.02,1.926,14.5,0.342
ArgMaxWithValue,AI_VECTOR_CORE,7,238.583,23.861,34.083,94.041,0.326
Pack,AI_VECTOR_CORE,51,230.903,1.76,4.527,18.721,0.315
Roll,AI_VECTOR_CORE,24,224.606,6.18,9.358,17.321,0.306
Equal,AI_VECTOR_CORE,45,198.162,2.12,4.403,12.74,0.27
ZerosLike,AI_VECTOR_CORE,34,182.264,1.18,5.36,13.24,0.249
Fill,AI_VECTOR_CORE,80,173.864,1.08,2.173,12.961,0.237
ReduceAny,MIX_AIV,12,163.304,8.16,13.608,19.261,0.223
BroadcastTo,AI_VECTOR_CORE,61,153.263,1.2,2.512,10.4,0.209
Conv2D,AI_CORE,5,148.722,13.64,29.744,60.241,0.203
MatMulV3,MIX_AIC,2,136.523,67.642,68.261,68.881,0.186
SelectV2,AI_VECTOR_CORE,12,125.762,9.7,10.48,13.14,0.172
NotEqual,AI_VECTOR_CORE,10,118.042,8.9,11.804,28.141,0.161
Cumsum,AI_CPU,1,117.322,117.322,117.322,117.322,0.16
Tile,AI_VECTOR_CORE,23,117.022,1.94,5.087,10.84,0.16
Range,AI_VECTOR_CORE,17,116.903,4.38,6.876,10.74,0.16
Cumsum,AI_VECTOR_CORE,8,105.742,5.3,13.217,21.96,0.144
ReduceSum,MIX_AIV,28,99.186,2.22,3.542,5.24,0.135
ReduceMax,MIX_AIV,6,85.664,13.921,14.277,14.56,0.117
GroupNormSilu,AI_VECTOR_CORE,4,68.261,12.36,17.065,27.08,0.093
LinSpace,AI_VECTOR_CORE,16,66.101,2.66,4.131,6.74,0.09
Pow,AI_VECTOR_CORE,15,56.101,3.5,3.74,4.6,0.077
ReduceAll,MIX_AIV,13,55.541,3.3,4.272,12.581,0.076
LogicalNot,AI_VECTOR_CORE,37,54.18,1.18,1.464,2.78,0.074
ResizeNearestNeighborV2,AI_VECTOR_CORE,4,50.441,7.54,12.61,21.901,0.069
Abs,AI_VECTOR_CORE,6,43.161,6.86,7.193,7.92,0.059
Log,AI_VECTOR_CORE,13,25.181,1.22,1.937,7.38,0.034
Sigmoid,AI_VECTOR_CORE,15,23.8,1.28,1.586,1.86,0.032
FloorDiv,AI_VECTOR_CORE,15,20.54,1.28,1.369,1.5,0.028
LogicalOr,AI_VECTOR_CORE,10,17.1,1.26,1.71,2.3,0.023
Muls,AI_VECTOR_CORE,12,15.4,1.14,1.283,1.44,0.021
GatherV2,AI_VECTOR_CORE,3,13.0,3.86,4.333,4.7,0.018
TopKV2,MIX_AIV,1,11.06,11.06,11.06,11.06,0.015
Greater,AI_VECTOR_CORE,1,10.0,10.0,10.0,10.0,0.014
OnesLike,AI_VECTOR_CORE,1,9.26,9.26,9.26,9.26,0.013
NonZero,MIX_AIV,1,9.02,9.02,9.02,9.02,0.012
Less,AI_VECTOR_CORE,1,8.96,8.96,8.96,8.96,0.012
Eye,AI_VECTOR_CORE,1,8.6,8.6,8.6,8.6,0.012
LogicalAnd,AI_VECTOR_CORE,1,8.261,8.261,8.261,8.261,0.011
ReduceProd,MIX_AIV,1,3.44,3.44,3.44,3.44,0.005
Tanh,AI_VECTOR_CORE,1,3.42,3.42,3.42,3.42,0.005
