Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::to,,,10.77,12197.67,0,0,0,0
aten::_to_copy,,,55.67,12186.9,0,0,0,0
aten::empty_strided,,,42.88,67.94,0,0,0,0
empty_tensor,,,25.06,25.06,0,0,0,0
aten::copy_,,,12063.29,12063.29,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,3.42,3.42,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.29,1.29,0,0,0,0
aten::to,,,4.9,136.88,0,0,0,0
aten::_to_copy,,,12.65,131.98,0,0,0,0
aten::empty_strided,,,19.25,31.28,0,0,0,0
empty_tensor,,,12.03,12.03,0,0,0,0
aten::copy_,,,88.05,88.05,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.71,1.71,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.91,0.91,0,0,0,0
aten::to,,,2.75,154.15,0,0,0,0
aten::_to_copy,,,8.35,151.4,0,0,0,0
aten::empty_strided,,,12.35,20.21,0,0,0,0
empty_tensor,,,7.86,7.86,0,0,0,0
aten::copy_,,,122.84,122.84,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.17,1.17,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.08,1.08,0,0,0,0
aten::to,,,3.37,80.57,0,0,0,0
aten::_to_copy,,,8.06,77.2,0,0,0,0
aten::empty_strided,,,10.77,17.69,0,0,0,0
empty_tensor,,,6.92,6.92,0,0,0,0
aten::copy_,,,51.45,51.45,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.83,1.83,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.06,1.06,0,0,0,0
aten::to,,,3.1,412.76,0,0,0,0
aten::_to_copy,,,6.88,409.66,0,0,0,0
aten::empty_strided,,,13.03,19.35,0,0,0,0
empty_tensor,,,6.32,6.32,0,0,0,0
aten::copy_,,,383.43,383.43,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.62,1.62,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.3,1.3,0,0,0,0
aten::to,,,2.82,71.69,0,0,0,0
aten::_to_copy,,,7.1,68.87,0,0,0,0
aten::empty_strided,,,10.97,17.06,0,0,0,0
empty_tensor,,,6.09,6.09,0,0,0,0
aten::copy_,,,44.71,44.71,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.22,1.22,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.54,1.54,0,0,0,0
aten::to,,,2.99,4868.37,0,0,0,0
aten::_to_copy,,,8.08,4865.38,0,0,0,0
aten::empty_strided,,,10.99,16.95,0,0,0,0
empty_tensor,,,5.96,5.96,0,0,0,0
aten::copy_,,,4840.35,4840.35,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.41,2.41,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.13,1.13,0,0,0,0
aten::to,,,3.12,79.61,0,0,0,0
aten::_to_copy,,,7.65,76.49,0,0,0,0
aten::empty_strided,,,11.45,18.74,0,0,0,0
empty_tensor,,,7.29,7.29,0,0,0,0
aten::copy_,,,50.1,50.1,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.5,1.5,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.45,1.45,0,0,0,0
aten::to,,,2.59,72.19,0,0,0,0
aten::_to_copy,,,6.59,69.6,0,0,0,0
aten::empty_strided,,,11.73,17.82,0,0,0,0
empty_tensor,,,6.09,6.09,0,0,0,0
aten::copy_,,,45.19,45.19,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.77,1.77,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,0.99,0.99,0,0,0,0
aten::to,,,2.7,72.73,0,0,0,0
aten::_to_copy,,,6.33,70.03,0,0,0,0
aten::empty_strided,,,10.76,16.27,0,0,0,0
empty_tensor,,,5.51,5.51,0,0,0,0
aten::copy_,,,47.43,47.43,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.46,1.46,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.26,1.26,0,0,0,0
aten::to,,,3.16,4557.85,0,0,0,0
aten::_to_copy,,,9.34,4554.69,0,0,0,0
aten::empty_strided,,,13.99,20.36,0,0,0,0
empty_tensor,,,6.37,6.37,0,0,0,0
aten::copy_,,,4524.99,4524.99,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.42,2.42,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.26,1.26,0,0,0,0
aten::to,,,3.41,91.6,0,0,0,0
aten::_to_copy,,,8.36,88.19,0,0,0,0
aten::empty_strided,,,12.74,19.29,0,0,0,0
empty_tensor,,,6.55,6.55,0,0,0,0
aten::copy_,,,60.54,60.54,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.84,1.84,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.25,1.25,0,0,0,0
aten::to,,,3.0,3668.0,0,0,0,0
aten::_to_copy,,,9.85,3665.0,0,0,0,0
aten::empty_strided,,,12.72,19.04,0,0,0,0
empty_tensor,,,6.32,6.32,0,0,0,0
aten::copy_,,,3636.11,3636.11,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,2.69,2.69,0,0,0,0
aten::_has_compatible_shallow_copy_type,,,1.18,1.18,0,0,0,0
