Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_VECTOR_CORE,2,1479,2.02,1753145997594061.915	,1753145997594063.935	
0,aclnnCast_CastAiCore_Cast,AI_VECTOR_CORE,2,1480,3.18,1753145997599426.282	,1753145997599429.462	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1481,3.8,1753145997603562.124	,1753145997603565.924	
0,aclnnInplaceBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,2,1482,2.3,1753145997605602.385	,1753145997605604.685	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1483,3.42,1753145997605799.649	,1753145997605803.069	
0,aclnnInplaceBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,2,1484,2.22,1753145997605848.770	,1753145997605850.990	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1485,3.46,1753145997605889.131	,1753145997605892.591	
0,aclnnInplaceBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,2,1486,2.28,1753145997605963.272	,1753145997605965.552	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1487,3.6,1753145997605977.953	,1753145997605981.553	
0,aclnnInplaceBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,2,1488,2.22,1753145997606038.834	,1753145997606041.054	
0,aclnnNonzero_NonzeroAiCore_MemSet,AI_VECTOR_CORE,2,1489,12.3,1753145997616643.706	,1753145997616656.006	
0,aclnnNonzero_NonzeroAiCore_NonZero,MIX_AIV,2,1490,12.22,1753145997616749.388	,1753145997616761.608	
0,aclnnEye_EyeAiCore_MemSet,AI_VECTOR_CORE,2,1491,6.26,1753145997618786.089	,1753145997618792.349	
0,aclnnEye_EyeAiCore_Eye,AI_VECTOR_CORE,2,1492,8.6,1753145997618898.811	,1753145997618907.411	
0,aclnnCast_CastAiCore_Cast,AI_VECTOR_CORE,2,1493,2.78,1753145997619001.793	,1753145997619004.573	
0,aclnnRepeat_TileAiCore_Tile,AI_VECTOR_CORE,2,1494,1.94,1753145997622033.754	,1753145997622035.694	
0,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,AI_VECTOR_CORE,2,1495,1.92,1753145997622095.135	,1753145997622097.055	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1496,3.6,1753145997622201.857	,1753145997622205.457	
0,aclnnInplaceFillScalar_FillAiCore_Fill,AI_VECTOR_CORE,2,1497,2.3,1753145997626998.013	,1753145997627000.313	
0,N/A,MEMCPY_ASYNC,2,1498,0.92,1753145997627587.904	,1753145997627588.824	
0,aclnnInplaceFillScalar_FillAiCore_Fill,AI_VECTOR_CORE,2,1499,1.68,1753145997630795.869	,1753145997630797.549	
0,N/A,MEMCPY_ASYNC,2,1500,0.5,1753145997631068.934	,1753145997631069.434	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1501,3.32,1753145997631251.918	,1753145997631255.238	
0,aclnnEqScalar_EqualAiCore_Equal,AI_VECTOR_CORE,2,1502,3.2,1753145997631491.922	,1753145997631495.122	
0,aclnnAdds_AddAiCore_Add,AI_VECTOR_CORE,2,1503,3.68,1753145997635386.060	,1753145997635389.740	
0,aclnnAdds_AddAiCore_Add,AI_VECTOR_CORE,2,1504,3.3,1753145997635485.222	,1753145997635488.522	
0,aclnnAdds_AddAiCore_Add,AI_VECTOR_CORE,2,1505,3.44,1753145997635570.784	,1753145997635574.224	
0,aclnnAdds_AddAiCore_Add,AI_VECTOR_CORE,2,1506,3.18,1753145997635623.505	,1753145997635626.685	
0,aclnnInplaceFillScalar_FillAiCore_Fill,AI_VECTOR_CORE,2,1507,2.28,1753145997635652.666	,1753145997635654.946	
0,aclnnInplaceCopy_CastAiCore_Cast,AI_VECTOR_CORE,2,1508,1.86,1753145997642942.831	,1753145997642944.691	
0,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,AI_VECTOR_CORE,2,1509,2.16,1753145997644679.986	,1753145997644682.146	
0,aclnnInplaceCopy_CastAiCore_Cast,AI_VECTOR_CORE,2,1510,2.04,1753145997645030.573	,1753145997645032.613	
0,aclnnInplaceCopy_ViewCopyAiCore_ViewCopy,AI_VECTOR_CORE,2,1511,12.96,1753145997645342.779	,1753145997645355.739	
0,aclnnSub_SubAiCore_Sub,AI_VECTOR_CORE,2,1512,4.02,1753145997647484.442	,1753145997647488.462	
0,aclnnArange_ArangeAiCore_Range,AI_VECTOR_CORE,2,1513,10.74,1753145997648174.576	,1753145997648185.316	
